"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Ranbp1","20.86550","19.61939","20.18358","19.95233","20.64333","20.92841","20.64333","20.67717","19.95233","19.34950","20.14839","17.46424","17.46424","17.44687","20.66773","19.99684","19.97666","20.96286","20.64874","20.54261","20.08256","19.88274","19.87015","19.56662","19.87754","19.41212","19.56662","18.59569","16.29927"
"Ilf2","17.57696","16.63512","17.08698","17.80368","19.08209","19.22649","17.53049","16.12607","16.96361","17.07048","18.34994","20.26775","20.27355","20.79144","20.83714","17.45309","20.87484","16.57104","16.49295","16.13117","17.25409","16.38116","18.59954","17.28440","17.81240","18.18456","18.00835","16.45865","16.29927"
"Hnrnpul2","18.466236","18.700579","18.775105","17.250532","17.964091","16.229362","17.317582","16.126067","16.963611","17.070477","16.949836","19.612167","17.464240","21.299332","20.681833","20.700143","17.399074"," 6.848008","17.268596","16.996638","18.556864"," 6.848008","17.914249","17.803684","18.160302","16.508282","15.235399","16.458650","16.299267"
"Anp32e","18.060289","18.068654","17.736826","15.152258","17.886332","16.229362","17.964091","16.126067","16.963611","20.193495","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008","15.945784","16.833075","20.327802"," 6.848008","20.600751","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Cyb5b","18.99918","19.37401","19.23499","19.89112","19.70999","19.88642","19.12912","18.53070","20.26067","22.85531","18.98146","19.90880","19.65677","19.20034","19.56662","19.25248","19.60710","19.61217","18.97252","18.56699","18.84996","18.78579","19.08475","19.20034","19.42548","19.86546","18.70058","18.53809","19.53504"
"Ran","22.15594","22.20564","21.75754","21.88752","22.20564","21.38114","21.69790","20.67281","21.04994","21.07166","21.61410","20.82518","21.60611","20.78593","21.15554","19.38671","20.98120","22.16226","22.35109","21.89741","22.10554","22.28634","21.45160","21.17670","20.72878","21.43453","20.51988","19.96174","19.13349"
"Psmd14","17.35774","18.78887","18.91398","18.55409","18.86661","18.22534","17.22155","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.38788","16.32726","18.25218","17.83218","17.66524","17.13681","13.11983","16.92750","18.77510","17.98982","16.45865","16.29927"
"Ttr","20.19349","19.28949","20.24657","20.61073","20.59288","19.41838","19.87269","19.28540","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.06050","16.74344","16.77474","15.64250","16.48595","16.38920","16.68958","17.53049","16.50828","15.23540","16.45865","16.29927"
"Rab6b","18.62767","18.33303","18.44451","18.26138","19.09767","19.10773","19.20034","19.38671","18.82489","19.31401","19.47955","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.72275","20.57833","20.37478","20.12229","20.18358","19.37985","19.83411","20.41178","18.72172","18.13765","18.68302","18.73295"
"Gna13","18.266138","19.497524","17.707345","19.489150","18.489085","19.382550","15.617022","19.097675","19.277014","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","18.800614","17.605754","13.315849"," 6.848008","15.129111","15.265301","13.119830","17.542347","16.508282","16.635117","16.458650","16.299267"
