"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Slc8a2","16.84555","15.41528","15.49309","18.40890","15.76038","16.22936","17.10351","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.60980","17.98982","17.61742","17.81240","16.74344","16.01790","18.96696","19.88642","18.38788","18.48508","17.72286","16.29927"
"Adsl","16.90940","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.72762","18.21654","15.30432","20.98120","18.37337","18.32793","16.76147","15.66163","16.50828","15.23540","16.45865","16.29927"
"Vmp1","17.989822","15.415283","15.493092","15.152258","15.760376","16.229362","18.775105","19.369085","19.349500","21.060289","19.551448","17.464240","17.464240","17.446873","17.470465","17.453089","19.630789","16.898580","16.053817","14.103254","16.097952"," 6.848008","15.123607","17.563948","18.286907","16.508282","17.767473","18.691287","18.824894"
"Agpat3","19.365830","19.308256","19.107727","19.694019","19.686786","16.229362","19.715988","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.140300","16.627925"," 6.848008","17.208987","15.265301"," 6.848008","17.554214","19.210930","16.508282","18.972517","16.458650","17.743819"
"Chmp4b","17.82091","17.35774","17.95518","17.98982","17.84303","17.70383","16.93790","18.81966","19.13349","18.95642","19.63079","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.98083","17.89002","17.67975","18.19580","17.93033","17.89435","17.47720","17.38788","16.50828","17.06536","16.45865","16.29927"
"Gdap1l1","19.20612","19.48915","18.48033","18.49733","15.76038","19.11284","19.36583","20.04223","20.43582","20.20545","20.91788","19.28540","19.70043","19.43001","19.97269","19.46540","19.64365","16.81860","16.70389","15.93067","16.22545","16.98255","15.04187","16.97378","15.66163","18.68694","15.23540","16.45865","18.67487"
"Chmp5","17.04290","17.23604","17.00647","15.15226","15.76038","16.22936","17.83218","16.12607","16.96361","17.07048","16.94984","17.46424","19.33641","17.44687","19.83007","19.44097","20.64333","16.29927","16.75306","16.45484","17.22155","17.27466","15.97878","15.57551","15.66163","17.88258","15.23540","18.57132","17.61419"
"Cox6b1","18.67961","18.90046","18.33303","15.15226","15.76038","18.24291","20.02739","18.11577","16.96361","20.55482","18.44451","17.46424","17.46424","17.44687","17.47046","19.63079","17.39907","13.28683","12.15929","13.76108","18.11040","14.00327","17.83218","18.43828","18.61941","20.88933","19.09194","19.29896","20.97747"
"Ctsb","16.93790","17.72762","17.59182","16.97378","18.39184","17.47720","17.98982","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.28476","13.76108","17.12332","17.74382","14.31439","17.38788","17.82812","17.47404","16.50828","17.82091","19.51061","20.27791"
"Tmem163","17.80368","17.40886","18.66544","18.54704","18.13765","19.23499","18.34042","19.56662","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.77510","18.80384","18.48033","18.45391","18.32252","18.07308","18.52549","15.66163","16.50828","17.84631","16.45865","16.29927"
"Hars","17.87133","17.67503","18.01976","17.70735","17.75327","18.53070","18.25838","18.72172","16.96361","19.57395","19.36583","17.46424","19.35366","17.44687","17.47046","17.45309","17.39907","20.55896","19.63351","19.72870","19.27992","19.35749","18.61941","18.22220","18.27201","16.50828","17.59915","18.72649","18.18456"
"Ykt6","18.34637","17.60575","18.49733","17.81240","17.56664","19.17914","18.24837","19.01347","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.17345","17.50202","17.48469","18.04051","17.56664","19.14731","18.53070","17.50202","16.50828","17.87133","18.36242","17.97106"
"Unknown5","16.24347","15.41528","15.49309","16.65048","17.16245","18.22220","17.31380","17.83218","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","15.66163","17.10787","16.84555","17.37530","17.03582","17.63264","16.49295","17.90849","16.50828","15.23540","16.45865","16.29927"
"Map1lc3b","19.25248","19.46144","19.81794","19.54138","15.76038","19.83007","19.82317","19.39160","16.96361","20.88933","20.97747","22.06233","20.49576","20.94028","20.67281","21.02111","20.76381","18.76709","18.91398","19.39672","19.14319","19.04437","18.39850","16.70899","17.95518","16.50828","17.02078","18.14231","16.29927"
"Ergic1","18.43378","19.17914","18.56699","17.90232","19.20612","16.22936","17.94327","18.84679","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.84679","17.54815","18.11040","17.67503","18.04488","18.20107","15.91115","17.18209","16.50828","15.23540","16.45865","16.29927"
"Rpl36a-ps1","19.66287","18.39184","18.96696","20.00211","17.59552","18.65415","17.02408","19.93105","19.30826","17.07048","16.94984","21.37194","21.30882","21.52652","21.56197","21.53985","21.51931","19.56145","19.96174","19.98552","19.01966","19.18289","17.88633","19.74390","18.43378","17.98982","19.08802","17.75327","16.29927"
"Ddx19b","17.53755","17.30314","17.45041","16.82355","17.28440","17.90232","16.81091","18.09699","16.96361","18.97553","18.92066","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.44097","18.72649","18.33691","18.25838","17.84303","17.39907","16.58006","17.59552","16.50828","17.80368","17.93033","17.86146"
"Arl6ip1","18.86661","19.79999","19.12912","18.61483","18.74926","16.22936","18.78579","16.12607","19.27055","19.11786","20.22859","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.97749","17.85006","18.28691","17.11273","17.59182","17.76125","17.87133","18.10672","18.56263","17.74877","16.45865","19.62610"
"Adrm1","16.96361","17.66107","17.82091","17.73248","17.53049","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","19.94403","19.73487","19.70999","19.61939","19.56662","17.08180","17.32815","15.92083","15.69019","15.89192","16.85009","17.67503","17.17345","16.50828","16.62793","16.45865","16.29927"
"Cox4i1","19.17122","19.03110","19.25248","18.48033","18.33303","21.07721","20.54261","20.55896","16.96361","17.07048","19.19446","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.84996","19.30365","19.22649","19.87015","19.86546","20.20846","21.03201","20.22086","18.32013","21.12263","20.20545","20.24945"
"Tfg","17.39907","16.98255","15.49309","15.15226","17.38224","16.22936","17.99443","18.64565","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.65048","12.97221","18.16241","15.49979","15.74664","14.68750","17.60980","17.31758","19.75059","15.23540","18.20691","18.78579"
"Fabp3","17.403535","17.898126","17.977488","19.279917","18.614831","18.473293","15.617022","16.126067","18.808894","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","18.137654","18.150795","17.934073","17.291358","16.504470"," 6.848008","20.030505","20.048713","20.148386","18.904144","18.127498","20.030505"
"Tubg1","18.14676","15.41528","17.72762","19.04437","19.10773","17.93033","18.89321","19.24392","18.98993","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.02747","16.50447","15.78343","16.49960","17.22475","15.94085","16.54062","18.10176","18.25218","16.88502","18.23758","16.29927"
"Rpl36","14.564894","15.415283","15.493092","15.152258","17.914249","16.229362","15.617022","16.126067","16.963611","17.070477","20.260673","21.597567","20.672808","21.085684","21.576017","21.299332","21.426786","14.801439","13.442199"," 6.848008"," 6.848008"," 6.848008","14.359658","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Slc16a1","16.59371","17.10787","17.04290","15.15226","17.09902","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.06029","18.53070","18.24291","17.82812","18.84996","17.80368","18.36851","15.66163","16.50828","17.58178","17.88633","16.29927"
"Arrb1","14.564894","17.665245","15.493092","18.040509","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","19.817944","17.464240","19.472310","17.470465","17.453089","17.399074","17.614188","17.387880","16.992104","17.086985"," 6.848008","17.591819","16.454837","15.661630","16.508282","15.235399","16.458650","17.964091"
"Reep2","18.025343","17.846313","17.871333","18.195802","17.854066","16.229362","17.346877","16.126067","18.935068","19.097675","18.860289","20.224359","20.183576","20.054991","20.079202","20.246571","20.137018","15.920828","15.518475"," 6.848008","15.705140","15.422862","15.984116","16.217908","17.820913","18.156237","18.044881","18.333026","18.398499"
"Abi2","17.19547","16.97378","17.89435","17.08180","15.76038","17.62452","16.94502","16.12607","16.96361","19.06240","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.10672","17.16706","17.19547","15.71873","15.12361","18.27201","17.35774","15.66163","16.50828","15.23540","16.45865","16.29927"
"Pym1","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","19.70999","20.51988","20.85824","19.98233","20.59288","19.69402","16.86395","17.57696","17.80368","17.62452","17.70735","18.00835","17.25945","15.66163","16.50828","17.83732","16.45865","16.29927"
"Prune1","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.794321","16.699830","17.671909","16.177526"," 6.848008","16.446955","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Ptp4a2","16.46663","17.00647","17.01435","18.30278","18.45391","16.22936","18.39850","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","19.22649","17.39907","15.91115","15.97043","17.08698","16.02747","16.68958","18.45391","16.14752","17.12332","17.93828","18.28186","16.45865","19.40633"
"Osbpl8","18.79453","19.14731","18.95642","17.87133","15.76038","17.82812","19.37401","18.00835","16.96361","20.07307","19.78433","19.50724","17.46424","19.90880","17.47046","19.83007","17.39907","17.43896","16.29927","16.23326","17.98447","16.21791","18.52549","13.11983","15.66163","18.64983","17.32815","18.76145","19.06779"
"Nucb1","17.89435","19.06240","19.11284","18.27201","18.11040","16.22936","19.50293","16.12607","20.11454","20.46631","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.18958","17.04290","17.88633","16.05382","17.46159","17.25053","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Arpc3","20.28256","20.02045","20.44212","21.13570","20.63760","19.76111","19.29446","20.25385","21.26863","21.33497","19.99079","21.43453","21.32202","21.03201","21.19341","21.23385","21.30882","17.58178","18.63860","18.97553","18.59954","19.91235","18.34637","19.95703","20.98786","20.81648","20.11454","20.40094","20.26466"
"Nono","18.29882","18.34042","18.22534","18.02534","17.46688","16.22936","17.95518","17.76747","20.70014","20.67281","20.10784","17.46424","19.99684","17.44687","17.47046","17.45309","19.47231","16.49295","17.15884","18.30532","17.39268","16.68110","17.56664","15.95166","15.66163","18.22534","17.40886","16.45865","16.29927"
"Rdh11","18.65415","19.11284","18.86661","18.10176","20.00493","18.55686","17.07558","16.12607","19.59115","18.74926","20.77237","19.53740","19.73860","17.44687","17.47046","19.45601","17.39907","16.07623","15.26530","16.04214","16.93197","15.37054","16.20924","17.04884","17.46688","19.17122","18.79453","19.05843","19.99079"
"Exoc1","19.391599","19.522412","18.938389","19.200338","20.148386","16.229362","19.270546","18.904144","16.963611","19.171221","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","14.956643","15.603546","18.683017","15.669232","16.370481"," 6.848008","13.119830","18.362424","16.508282","16.963611","16.458650","16.299267"
"Tmsb10","16.689577","17.029330","15.493092","16.699830","17.224748","18.044881","17.716441","18.426797","16.963611","17.070477","16.949836","22.751621","22.726328","22.649424","22.774941","22.836811","22.526568","13.442199","11.419984","13.610228"," 6.848008","14.470677"," 6.848008","13.119830","16.833075","16.508282","16.492954","16.458650","16.299267"
"Fam241b","19.48915","18.66003","19.41212","19.00874","17.84631","19.36583","18.09348","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.17460","19.29446","19.35366","16.00591","19.23894","17.55421","16.36109","15.66163","16.50828","17.66107","18.55686","16.29927"
"Necab2","17.46688","18.42680","18.09699","16.77474","18.33691","16.22936","15.61702","16.12607","20.62208","20.83714","19.74390","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.75306","15.94085","14.26153","16.67249","14.15944","16.69983","17.00074","15.66163","20.02739","15.23540","18.84086","21.32809"
"Gng4","18.91398","19.44097","19.22235","18.45391","19.36583","19.12482","19.70043","19.61217","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.10773","18.64565","17.30314","18.92675","18.76709","19.23008","13.11983","15.66163","16.50828","15.23540","16.45865","18.68302"
"Mob4","18.19580","18.33691","15.49309","18.25838","17.81695","17.75327","17.85741","18.93839","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.85009","16.70899","15.98412","18.34637","16.27120","17.78811","16.41872","15.66163","16.50828","16.93197","16.45865","16.29927"
"Fkbp1a","19.36908","18.99918","19.01347","18.88364","19.28949","20.38660","20.32780","16.12607","20.21411","19.88642","19.90260","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.40094","19.90880","18.77768","19.51061","20.06683","18.97252","20.06683","20.71619","21.13570","21.15554","16.45865","19.39160"
"Gpd1l","14.56489","15.41528","15.49309","17.41972","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.63512","16.44043","17.40353","18.15079","17.79917","17.50202","19.23499","19.92121","18.26138","18.53809","16.45865","19.95233"
"Rpl37a","14.56489","15.41528","15.49309","18.52131","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","21.28949","21.02646","21.10173","21.10173","20.78593","21.42009","17.94808","16.60415","17.30969","17.80845","17.31380","17.78433","18.72649","19.49752","20.10109","19.69402","17.74877","18.02930"
"Rab4b","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","17.812397","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","17.403535","16.801458","16.292828","17.216702","16.389200"," 6.848008","17.142669","18.156237","16.508282","16.863952","16.458650","16.299267"
"Tpm1","16.99210","15.41528","15.49309","15.15226","15.76038","17.99443","15.61702","18.56263","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","15.86116","18.89550","18.45391","19.45601","18.18456","18.98993","18.42216","18.32013","16.50828","15.23540","16.45865","16.29927"
"Sirpa","19.78433","20.14839","20.08735","19.31401","19.39672","20.83045","19.49255","20.61716","18.67961","17.07048","19.01966","17.46424","19.61217","17.44687","17.47046","17.45309","17.39907","18.54704","18.16241","19.05843","17.89435","18.92066","19.18629","17.15884","19.84037","16.50828","17.46688","18.15079","18.20107"
"Lin7c","20.30188","20.29644","19.88274","20.03438","20.03051","19.99684","19.93105","20.07920","18.82823","17.07048","19.15867","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.75059","19.51467","19.68679","19.44097","19.96174","19.08802","19.40633","19.12482","19.36145","19.05296","16.45865","16.29927"
"Psip1","16.07623","15.41528","15.49309","15.15226","15.76038","16.22936","16.92750","17.59552","19.09194","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.15643","16.37048","15.57551","17.15101","16.01790","17.48198","15.70514","16.97378","16.50828","16.49960","16.45865","16.29927"
"Rab39b","17.38788","15.41528","17.66107","15.15226","15.76038","18.98993","18.44451","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.61780","17.17345","18.85408","16.76147","18.14676","17.23604","17.58654","18.80061","16.50828","18.34994","16.45865","19.72870"
"Cops8","18.29435","18.12750","18.59569","18.55686","17.76125","18.57728","18.14231","18.70058","18.93047","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.47720","18.26138","18.25838","16.46663","18.16030","18.21654","16.62793","17.40353","20.18880","19.32401","16.45865","16.29927"
"Palm2","18.03745","19.32958","17.83218","18.23758","16.93790","20.55482","17.59182","18.27775","16.96361","17.07048","18.66544","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.05843","19.12482","19.32081","19.77078","18.90414","17.41473","16.68110","18.04488","18.27587","16.93790","20.96765","19.44097"
"Surf4","18.94203","18.98993","17.39907","17.09902","18.75660","17.69319","18.28186","16.12607","16.96361","17.07048","19.30826","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.01139","17.91425","18.65415","17.94808","17.71644","18.14231","16.59371","15.66163","16.50828","15.23540","16.45865","16.29927"
"Camsap2","14.56489","15.41528","16.99664","15.15226","15.76038","16.22936","17.02078","16.12607","18.60977","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.13681","16.36109","18.46022","17.67191","16.90940","16.65945","15.94085","15.66163","18.09699","15.23540","16.45865","16.29927"
"Dlgap4","14.564894","15.415283","15.493092","15.152258","18.433778","18.233288","17.693185","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","18.404174","18.277751","18.398499","15.603546"," 6.848008","17.491400","13.119830","15.661630","16.508282","15.235399","16.458650","16.299267"
"Srpk2","14.56489","15.41528","15.49309","15.15226","15.76038","17.59182","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.88258","16.73529","16.25580","17.76747","16.87892","17.66524","13.11983","16.88502","16.50828","15.23540","16.45865","16.29927"
"Psmb7","19.40196","19.49255","19.88642","20.01389","19.71599","19.59115","19.04437","18.52549","19.23008","17.07048","19.23894","20.66773","21.79893","21.92660","21.71159","21.59029","21.69790","18.70058","19.85861","19.27701","17.57696","18.00835","19.32958","20.19800","18.66544","18.29882","18.90866","19.55145","18.98993"
"Pcmt1","19.556897","19.349500","20.137018","15.152258","15.760376","16.229362","19.662866","16.126067","16.963611","20.785927","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","12.663546"," 6.848008","11.884977","21.837662"," 6.848008","22.232689","16.027474","15.661630","16.508282","15.235399","19.052960","16.299267"
"Atp5c1","14.564894","16.699830","15.493092","15.152258","17.230655","20.470147","15.617022","18.272008","20.290385","19.226494","20.600751","17.464240","17.464240","19.990789","17.470465","20.249450","17.399074"," 6.848008"," 6.848008"," 6.848008"," 6.848008"," 6.848008"," 6.848008","17.773861","20.393861","18.889668","20.131808","22.562260","22.133002"
"Omg","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","16.396047","16.036128","15.642505"," 6.848008","15.304318","14.856310","19.163851","20.505166","18.614831","20.183576","16.458650","20.423788"
"Vac14","19.51467","15.41528","18.42216","15.15226","15.76038","16.22936","16.93197","18.26614","16.96361","17.07048","16.94984","17.46424","19.56846","17.44687","17.47046","19.62610","17.39907","18.14676","18.13765","17.87950","17.85741","17.78811","15.80856","15.66163","17.48198","18.17206","16.54958","18.46022","16.29927"
"Rnf214","16.93197","15.41528","17.16245","16.90940","17.25945","16.22936","17.30314","17.86146","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.15404","18.59569","17.68484","18.88364","19.05843","18.67038","16.60415","15.66163","16.50828","15.23540","16.45865","16.29927"
"Pfdn5","14.56489","15.41528","15.49309","15.15226","15.76038","16.22936","17.97106","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.75327","16.27120","17.41972","15.97878","15.71873","16.06050","16.37048","17.89435","16.50828","17.72762","16.45865","16.29927"
"Ppm1b","19.00874","19.46540","18.55686","17.63264","19.74390","17.59552","19.29896","17.95518","19.32401","17.07048","19.44911","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.15867","20.40570","19.59115","19.94403","19.90880","20.43582","18.98146","18.72172","19.23894","18.18456","16.45865","16.29927"
"Eif2a","16.76147","15.41528","15.49309","16.90345","15.76038","16.22936","15.61702","16.12607","16.96361","17.07048","16.94984","17.46424","19.86546","17.44687","20.87114","17.45309","21.15554","18.00096","18.02930","17.99443","17.90232","16.22545","16.19858","16.23326","15.66163","16.50828","16.68958","16.45865","17.76747"
"Ppm1a","17.54815","18.59186","17.74877","18.35559","15.76038","19.23894","17.52276","18.12750","18.36242","19.08475","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.66524","17.55421","18.20107","18.17753","18.69644","18.76145","17.64582","15.66163","16.50828","18.62767","16.45865","16.29927"
"Ppfia2","17.43896","15.41528","15.49309","17.53049","17.07558","16.22936","17.19547","16.12607","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.27201","17.20351","17.21243","17.89813","16.43529","17.85006","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Atxn2l","19.86546","20.01389","20.73568","16.67249","15.76038","16.22936","20.13181","17.61742","16.96361","17.07048","16.94984","19.60710","17.46424","19.37401","17.47046","17.45309","19.18289","16.03613","13.28683","14.83601","19.07590","16.83665","18.63453","16.13117","16.87892","20.26775","15.23540","18.46624","16.29927"
"Lamp1","18.25218","18.27201","18.19580","18.92675","19.40633","17.43896","18.37337","18.60305","18.72172","19.27992","19.18289","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.04214","17.63936","17.59552","15.46436","17.98083","17.92508","19.35749","18.91124","18.99918","18.27587","18.67487","18.11040"
"Capn5","14.564894","15.415283","15.493092","17.716441","15.760376","18.037446","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","17.799166","17.837321","17.024081"," 6.848008","16.299267","16.996638","17.980832","18.055434","18.346370","17.788115","18.162412","16.299267"
"Cdk5","20.64874","20.35593","20.35593","19.87269","19.79999","20.62208","18.64565","20.21411","19.95703","19.09194","18.39850","21.65434","21.56904","21.86021","21.91073","21.38600","21.32809","20.91788","21.09500","20.97205","20.62623","20.94028","20.22859","18.25838","18.77510","17.96068","18.02930","18.57728","17.98083"
"Reep1","18.11969","18.30532","17.99766","17.93828","18.02534","18.77510","17.30969","18.98146","16.96361","19.26313","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.58780","18.38788","18.02534","18.70420","18.49733","18.08671","16.85553","15.66163","16.50828","16.73529","16.45865","16.29927"
"Csrp1","14.564894","15.415283","15.493092","15.152258","15.760376","16.229362","15.617022","16.126067","16.963611","17.070477","16.949836","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074"," 6.848008","14.504461","16.243473"," 6.848008","14.856310"," 6.848008","19.369085","20.082561","19.877535","18.704199","16.458650","16.299267"
"Cd9","14.564894","17.103508","15.493092","17.123320","17.414726","16.229362","15.617022","16.126067","20.020447","17.070477","18.800614","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","15.464361"," 6.848008","12.426350","15.324015","15.152258","15.509832","17.955177","17.914249","20.460051","19.294455","19.796003","20.865497"
"Cltb","19.263127","19.124816","19.633510","18.674870","19.444286","20.059928","18.981457","20.478985","19.257826","17.070477","16.949836","19.694019","17.464240","17.446873","17.470465","17.453089","17.399074","17.474037","18.320130"," 6.848008","18.854077","16.823546","17.000737","19.222355","20.101089","20.137018","19.968703","19.811979","19.013475"
"Trp53i11","16.98255","15.41528","15.49309","17.56664","18.49733","16.22936","15.61702","23.01886","23.75876","21.72312","20.32780","17.46424","19.37985","19.32081","19.29446","17.45309","17.39907","15.44517","15.21998","13.88496","15.01333","15.27911","15.25065","16.39605","15.66163","16.50828","16.84555","19.12482","18.27775"
"Vipas39","14.56489","15.41528","16.88502","15.15226","17.04290","16.22936","15.61702","17.62017","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","16.65945","17.67191","17.24751","17.72286","17.60980","17.86558","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Dtd1","16.48595","15.41528","17.31758","17.02078","17.13681","16.22936","17.41972","18.06029","18.52549","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.94203","18.61941","16.07623","19.18289","15.95166","18.84679","19.61217","17.93407","16.50828","16.82763","18.28691","18.22534"
"Manf","19.03913","18.70909","17.55421","18.90046","18.87674","18.38788","17.41473","18.49733","16.96361","19.39160","18.60305","17.46424","19.72207","17.44687","17.47046","17.45309","19.42548","17.32194","17.34688","17.40886","17.67975","16.75306","16.93197","16.15649","15.66163","18.46624","15.23540","16.45865","16.29927"
"Luc7l","16.95767","19.66287","18.83463","18.16592","17.67975","16.22936","20.15570","22.40693","23.26437","22.19673","20.73568","17.46424","17.46424","19.60254","19.64365","19.87269","19.55145","19.29896","18.46624","18.22534","18.95016","18.86661","18.33691","18.16241","18.14231","18.49733","18.01976","17.77908","16.29927"
"Cplx2","17.30314","17.31380","15.49309","15.15226","15.76038","18.10176","15.61702","17.63264","16.96361","17.07048","19.56662","19.34950","17.46424","17.44687","17.47046","17.45309","17.39907","19.30826","17.96068","18.43828","19.23008","18.30278","17.44687","19.88274","19.91713","18.70420","19.73487","19.79999","19.41212"
"Prkra","14.56489","15.41528","15.49309","17.84303","15.76038","16.22936","17.42420","16.12607","16.96361","18.93507","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.11273","17.19547","18.17206","18.16030","18.75660","18.32013","17.45041","15.66163","16.50828","15.23540","16.45865","16.29927"
"Myo5b","21.16617","21.36460","21.76818","20.90483","20.99555","21.69790","19.32081","21.35994","20.38104","20.92841","20.18358","17.46424","20.68744","20.49065","17.47046","17.45309","17.39907","21.98092","21.51931","20.72275","21.88020","21.76818","21.22602","13.11983","18.20691","16.50828","18.42680","16.45865","16.29927"
"Ap2s1","20.22086","20.10784","19.90260","20.10109","20.90483","18.17753","20.60576","16.12607","19.88642","20.04223","20.95697","20.74995","20.05993","19.61939","17.47046","20.34540","17.39907","17.85741","18.43828","17.74877","17.05795","18.09348","18.56263","19.24861","19.99684","18.87233","21.14218","20.08735","19.95703"
"Akr1b3","17.59915","17.25409","18.54704","18.21654","19.43702","16.22936","19.13349","17.94327","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","19.84037","18.24291","17.70383","16.15649","15.66163","17.54235","15.63037","17.82091","19.33641","16.50828","19.03913","16.45865","16.29927"
"Rpl35a","18.76145","18.18456","19.60710","19.47231","18.55409","18.85408","18.38023","18.97553","18.72649","19.08209","18.64565","22.50433","22.44780","22.68458","22.42061","22.50433","22.48292","19.01347","19.02475","18.70420","20.01389","19.58586","19.12912","20.52636","19.67490","19.28949","19.07590","18.44451","17.90849"
"Ap1g1","19.09767","19.01966","18.66003","19.23499","15.76038","18.60977","18.20691","18.68302","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","17.70383","17.65752","15.12911","17.93828","17.96068","17.47720","18.54104","17.09372","18.90866","17.81240","16.45865","16.29927"
